_id,model,Serial,Barcode,prix,price,devise,Situation,PassOg,Description,ConfigUser,CreationDate,DMS,Photo,Power,files,localisation
223,DCP-3000,UH04A24090064,100294,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
224,DCP-3000,UH04A24090062,100292,1,38924.50,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2025-05-09T14:55:58.177Z,,-,0,-,-
225,DCP-3000,UH04A24090077,100290,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
226,DCP-3000,UH04A24090058,100289,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
227,DCP-3000,UH04A24090089,100288,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-30T09:58:36.973Z,,-,0,-,-
228,DCP-3000,UH04A24090074,100287,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
229,DCP-3000,UH04A24090085,100279,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-30T19:31:26.195Z,,-,0,-,-
230,DCP-3000,UH04A24090084,100278,1,38924.50,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2025-01-20T14:22:47.645Z,,-,0,-,-
231,DCP-3000,UH04A24090057,100276,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
232,DCP-3000,UH04A24090093,100275,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
233,DCP-3000,UH04A24090068,100274,1,38924.50,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2025-05-09T14:55:58.247Z,,-,0,-,-
234,DCP-3000,UH04A24090080,100273,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
235,DCP-3000,UH04A24090056,100271,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
236,DCP-3000,UH04A24090066,100270,1,38924.5,Mad,En stock,false,Recepteur satellites professionnels de marque Int. Datacasting de ref DCP-3000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
237,-,-,89644,3,2520,Mad,En stock,false,coffret metalique avec batterie de compensation pour tansf haut de poteau 50KVA,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
238,-,-,89643,3,2520,Mad,En stock,false,coffret metalique avec batterie de compensation pour tansf haut de poteau 50KVA,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
239,-,-,88570,10,0,-,En stock,false,Fourniture de coffret mural fixe 6U 19 pouces professionnel de profondeur 280mm.,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
240,-,-,88569,10,0,-,En stock,false,Fourniture de coffret mural fixe 6U 19 pouces professionnel de profondeur 280mm.,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
241,-,-,88568,10,0,-,En stock,false,Fourniture de coffret mural fixe 6U 19 pouces professionnel de profondeur 280mm.,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
242,-,-,92654,2,26600,Mad,En stock,false,outillage de maintenance industrielle de marque facom avec coffret roulant jet,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
